"name","Col","IncA_C","IncB","IncFIA","IncFIB","IncFIC","IncFII","IncHI1","IncHI2","IncI1","IncI2","IncL","IncN","IncR","IncX1","IncX2","IncX3","IncX4","IncY"
"28099_1_26",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_260",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_261",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_264",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_266",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_268",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_269",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_27",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_270",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_272",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_274",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28099_1_278",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_280",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"28099_1_281",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_282",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"28099_1_284",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"28099_1_285",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_286",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_288",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_289",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_293",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_294",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_297",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_30",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_300",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_301",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
